Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrolled,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Summer Session,Class Location Description,City
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,701,Graduate,DISSERTATION,5,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,7/25/2025,"Sun,Lili",10W,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,709,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,712,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Neel,Michael J",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,716,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,722,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,724,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Robertson,Jesse Charles",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,751,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Sun,Lili",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,752,Graduate,DISSERTATION,1,0,CRE,,,,,N,N,N,N,N,N,N,5/12/2025,5/30/2025,"Curtis,Mary B",3W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6950,ACCT 6950,ACCT 6950,753,Graduate,DISSERTATION,3,0,CRE,,,,,N,N,N,N,N,N,N,5/12/2025,5/30/2025,"Sun,Lili",3W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,1,Undergraduate,ACCOUNT PRIN I,80,36,CRE,BLB  005,TR, 9:00:00.000000AM,12:00:00.000000PM,N,Y,N,Y,N,N,N,6/2/2025,7/25/2025,"Sapkota,Pradeep",8W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,401,Undergraduate,ACCOUNT PRIN I,63,63,CRE,Internet,,,,N,N,N,N,N,N,N,6/2/2025,7/25/2025,"Grieser,Anne Marie",8W1,Internet Course - Texas,Denton
